checkpoint_episode,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,carbon_mean,carbon_std
250,91.5007040096654,3.2893198447874035,0.0871563092912019,0.1144232962111064,2.77040771736077,0.043625028282331085,0.1859970901832386,0.04866960063968901,1.6710074047174075,0.06436702530012349
500,86.42774120171866,3.6309182857549884,3.573746284953182e-05,3.8614134112560575e-05,2.8391461340189816,0.042458772224840124,0.26766859037110574,0.05294748532170506,1.77160892056553,0.07243259397827545
750,85.65041535463598,3.4817515148622658,0.0014590846384885706,0.002063457284400781,2.873091157362851,0.05911790922077447,0.28453280103936535,0.06068685851130409,1.7860075201713255,0.06971571824521042
1000,88.58133286171488,1.1228370085263832,0.006784076925264505,0.00959413359589143,2.827057893663413,0.03489103203626895,0.23662428925097898,0.024494344822675842,1.7282171999774683,0.022100788379456653
1250,88.77201941741839,0.3514288455885016,0.00017937235416930195,0.00025367081598101697,2.8419401135612237,0.03377798457375241,0.24240822111748242,0.024542694858812986,1.7239211921145838,0.006550901750606942
