method,method_label,mask_mode,seed,run_dir,checkpoint_episode,checkpoint_path,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_eval_episodes,attn_leakage_per_call,attn_calls,attn_entropy_mean,inactive_action_abs_mean
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,94.71924123101763,4.85914776654766,0.15146693233789366,0.04040818614095947,2.711602758142725,0.1608433142454096,0.13815066906596288,0.02244476048957239,2.849753427208689,0.15794534682968114,1.6308742034980637,0.11177620114667387,17.83611111111111,30,0.0,42090.0,1.8134901647240547,0.0
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,93.40327986147668,4.943782365194611,0.1850687984218631,0.046816198640820185,2.729052852019178,0.14000500922203613,0.16002031399272088,0.03302089515429835,2.8890731660118987,0.13292007662490601,1.6295916297085826,0.10295627504511637,20.202777777777776,30,0.0,43127.0,1.9970118226751494,0.0
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,93.66842342880038,2.582733912573173,0.17309269420848192,0.04181239740507201,2.7849440818098166,0.09178133270781952,0.16614767644099412,0.025086211236848847,2.9510917582508105,0.0916243321050281,1.649037237586494,0.06689551030963789,25.57916666666667,30,0.0,38674.0,2.2183913447763532,0.0
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,93.06432348092396,0.30254559654159124,0.14807887770247313,0.004887818856299381,2.7806619582949876,0.015867681288355584,0.20272512626285746,0.005471291830646517,2.983387084557845,0.01713481196042037,1.6507296745611995,0.005653664182592702,30.0,30,nan,0.0,2.3862745501006017,nan
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,93.65171919928657,1.307958223164943,0.20414202956410218,0.02868172157698544,2.743576799115177,0.1020871219068816,0.17905086253295868,0.02608133972508191,2.922627661648136,0.1049415567267001,1.6335801996175963,0.05881614377672786,24.5,30,0.0,39528.0,2.2012883206724254,0.0
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,5.0,93.38245265136162,4.826080786905267,0.19116825942406385,0.04575486095640946,2.733860272226657,0.13876090490241969,0.16121038326332893,0.032281333833831354,2.8950706554899863,0.13000938492119343,1.6273194186487259,0.10309626064903543,20.078125000000004,40,0.0,57096.0,2.0044138871347075,0.0
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,78.78666203108928,17.52085760370366,0.0,0.0,2.5858229340384766,0.9876994115460013,0.41593508413030655,0.4287855052839667,3.001758018168783,0.8560193950550563,1.6609422716019508,0.5694682986864874,1.0,20,0.0,29280.0,0.0,0.0
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,scale_02,2 active agents,scale_sweep,2,2,0.0,0.0,86.35476530815163,10.568898751131085,0.0766890758023788,0.15908498443588528,2.8869642984064803,0.7559542964601018,0.2744680147039845,0.1793562962678882,3.161432313110465,0.6532569445928975,1.7804007080905042,0.491297675214031,2.0,20,0.0,29280.0,0.23714592213821317,0.0
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,scale_03,3 active agents,scale_sweep,3,3,0.0,0.0,88.61776066410044,8.18535359675801,0.13973879963905791,0.13740989947679244,2.969291635399631,0.7107763391473171,0.2588443767555683,0.1550212897098514,3.228136012155199,0.587951006649441,1.7951607427549128,0.4267919117422127,3.0,20,0.0,29280.0,0.4259770045090019,0.0
full_ours,Full / Ours,full,42,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430,1250,C:\Users\zrway\Desktop\论文-1.1\dp-lcrl-rl 2\dp-lcrl-rl\runs\paper_ablation_direct_max_10000ep_seed42_20260430\models\transformer_1250.pt,scale_04,4 active agents,scale_sweep,4,4,0.0,0.0,91.09070480242372,5.646294921295714,0.15802380337012262,0.13921492599747726,2.7974384651309068,0.5206585248860565,0.23619126011588754,0.12320658259414076,3.0336297252467936,0.42744659436311183,1.6723263048329406,0.3251527731573953,4.0,20,0.0,29280.0,0.6544375538785275,0.0
