method,method_label,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,seed_count,eval_episodes_per_seed,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_agents_std,attn_leakage_per_call,attn_leakage_per_call_std,attn_entropy_mean,attn_entropy_std,inactive_action_abs_mean,inactive_action_abs_std
full_ours,Full / Ours,scale_10,10 active agents,scale_sweep,10,10,0.0,0.0,1,20,94.80312349873905,0.0,0.18304507245129503,0.0,2.821289971091724,0.0,0.15333107310736682,0.0,2.9746210441990906,0.0,1.6552718355268763,0.0,10.0,0.0,0.0,0.0,1.3541160623985724,0.0,0.0,0.0
full_ours,Full / Ours,scale_11,11 active agents,scale_sweep,11,11,0.0,0.0,1,20,93.16615195435783,0.0,0.21372977685973238,0.0,2.92624590374806,0.0,0.1689530167227476,0.0,3.0951989204708075,0.0,1.7302908321230692,0.0,11.0,0.0,0.0,0.0,1.4101839391300912,0.0,0.0,0.0
full_ours,Full / Ours,scale_12,12 active agents,scale_sweep,12,12,0.0,0.0,1,20,94.43411603718997,0.0,0.21937827829395323,0.0,2.663302349455363,0.0,0.17395823568826088,0.0,2.837260585143624,0.0,1.5829765187540654,0.0,12.0,0.0,0.0,0.0,1.5881558256376473,0.0,0.0,0.0
full_ours,Full / Ours,scale_13,13 active agents,scale_sweep,13,13,0.0,0.0,1,20,93.61587060888607,0.0,0.2389316505212909,0.0,2.709049695958983,0.0,0.18460633221999434,0.0,2.893656028178977,0.0,1.598428618458133,0.0,13.0,0.0,0.0,0.0,1.6679718572422455,0.0,0.0,0.0
full_ours,Full / Ours,scale_14,14 active agents,scale_sweep,14,14,0.0,0.0,1,20,94.10849358638129,0.0,0.19914449162808384,0.0,2.8881126626219893,0.0,0.15265735007213882,0.0,3.0407700126941277,0.0,1.7093788350067065,0.0,14.0,0.0,0.0,0.0,1.6094492167071566,0.0,0.0,0.0
full_ours,Full / Ours,scale_15,15 active agents,scale_sweep,15,15,0.0,0.0,1,20,93.21140426297981,0.0,0.23517701566608196,0.0,2.793905670704841,0.0,0.1757271117551032,0.0,2.9696327824599447,0.0,1.6523868080002988,0.0,15.0,0.0,0.0,0.0,1.7533447380396512,0.0,0.0,0.0
full_ours,Full / Ours,scale_16,16 active agents,scale_sweep,16,16,0.0,0.0,1,20,93.87338890631995,0.0,0.19715687323880657,0.0,2.649080697066567,0.0,0.14765161954506362,0.0,2.7967323166116307,0.0,1.5669123909373552,0.0,16.0,0.0,0.0,0.0,1.8384188562794461,0.0,0.0,0.0
full_ours,Full / Ours,scale_17,17 active agents,scale_sweep,17,17,0.0,0.0,1,20,93.28042546510696,0.0,0.2580829198583094,0.0,2.7717388370885687,0.0,0.1917296665307186,0.0,2.9634685036192874,0.0,1.6305389907712768,0.0,17.0,0.0,0.0,0.0,1.8937235307294489,0.0,0.0,0.0
full_ours,Full / Ours,scale_18,18 active agents,scale_sweep,18,18,0.0,0.0,1,20,93.71113390078146,0.0,0.24301587543236466,0.0,2.787611797923259,0.0,0.179119287725788,0.0,2.9667310856490476,0.0,1.6390114235645843,0.0,18.0,0.0,0.0,0.0,1.922695471146882,0.0,0.0,0.0
full_ours,Full / Ours,scale_19,19 active agents,scale_sweep,19,19,0.0,0.0,1,20,94.09529399077097,0.0,0.2151139381614664,0.0,2.8455293987229706,0.0,0.16125868619879324,0.0,3.0067880849217636,0.0,1.6785644235735528,0.0,19.0,0.0,0.0,0.0,1.9314784090131358,0.0,0.0,0.0
full_ours,Full / Ours,scale_20,20 active agents,scale_sweep,20,20,0.0,0.0,1,20,93.60740545888741,0.0,0.23792939477671832,0.0,2.8060953759125633,0.0,0.18056489417425353,0.0,2.9866602700868166,0.0,1.6627884996367464,0.0,20.0,0.0,0.0,0.0,2.0033006839779883,0.0,0.0,0.0
full_ours,Full / Ours,scale_21,21 active agents,scale_sweep,21,21,0.0,0.0,1,20,94.16183000008266,0.0,0.23554432552426324,0.0,2.7463201653976235,0.0,0.17242279062106636,0.0,2.9187429560186895,0.0,1.6184585631207482,0.0,21.0,0.0,0.0,0.0,2.071552701054212,0.0,0.0,0.0
full_ours,Full / Ours,scale_22,22 active agents,scale_sweep,22,22,0.0,0.0,1,20,94.17641869386037,0.0,0.21765653057211778,0.0,2.7217143117746416,0.0,0.1642217472164725,0.0,2.8859360589911143,0.0,1.6082828207699216,0.0,22.0,0.0,0.0,0.0,2.111270144423012,0.0,0.0,0.0
full_ours,Full / Ours,scale_23,23 active agents,scale_sweep,23,23,0.0,0.0,1,20,93.27859944502512,0.0,0.2237873748790538,0.0,2.8313059312098336,0.0,0.1687838336403617,0.0,3.0000897648501956,0.0,1.672866949409188,0.0,23.0,0.0,0.0,0.0,2.1190682246222523,0.0,0.0,0.0
full_ours,Full / Ours,scale_24,24 active agents,scale_sweep,24,24,0.0,0.0,1,20,93.73620368242263,0.0,0.21769530307105905,0.0,2.775939774293526,0.0,0.17146473706925885,0.0,2.9474045113627847,0.0,1.6593946728755533,0.0,24.0,0.0,0.0,0.0,2.166924392806539,0.0,0.0,0.0
full_ours,Full / Ours,scale_25,25 active agents,scale_sweep,25,25,0.0,0.0,1,20,92.90944806337356,0.0,0.1796539181602105,0.0,2.708481119799951,0.0,0.15682902608082816,0.0,2.8653101458807786,0.0,1.6355577683845914,0.0,25.0,0.0,0.0,0.0,2.250846332963047,0.0,0.0,0.0
full_ours,Full / Ours,scale_26,26 active agents,scale_sweep,26,26,0.0,0.0,1,20,93.5090579966704,0.0,0.20189386100948742,0.0,2.772431460844976,0.0,0.1686695158991368,0.0,2.9411009767441127,0.0,1.6487992372428093,0.0,26.0,0.0,0.0,0.0,2.2401801886820727,0.0,0.0,0.0
full_ours,Full / Ours,scale_27,27 active agents,scale_sweep,27,27,0.0,0.0,1,20,94.13821377754212,0.0,0.19079869732295052,0.0,2.7548923855612317,0.0,0.1695117346931967,0.0,2.9244041202544286,0.0,1.6466339835978083,0.0,27.0,0.0,0.0,0.0,2.273748268292901,0.0,0.0,0.0
full_ours,Full / Ours,scale_28,28 active agents,scale_sweep,28,28,0.0,0.0,1,20,93.71186262766521,0.0,0.18902290025214435,0.0,2.772371278469697,0.0,0.18976806412156966,0.0,2.9621393425912665,0.0,1.6392752434800788,0.0,28.0,0.0,0.0,0.0,2.316457794643328,0.0,0.0,0.0
full_ours,Full / Ours,scale_29,29 active agents,scale_sweep,29,29,0.0,0.0,1,20,91.75234001080196,0.0,0.2107579348215433,0.0,2.821435296528687,0.0,0.22919447270160317,0.0,3.05062976923029,0.0,1.6754334066614938,0.0,29.0,0.0,0.0,0.0,2.3513505046525616,0.0,0.0,0.0
