seller_id,buyer_0,buyer_1,buyer_2,buyer_3,buyer_4,buyer_5,buyer_6,buyer_7,buyer_8,buyer_9,buyer_10,buyer_11,buyer_12,buyer_13,buyer_14,buyer_15,buyer_16,buyer_17,buyer_18,buyer_19,buyer_20,buyer_21,buyer_22,buyer_23,buyer_24,buyer_25,buyer_26,buyer_27,buyer_28,buyer_29
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6098779657064505,-0.5716785873225481,-1.1058161990421584,0.0,0.0,-1.6320611277639816,0.0,-1.2480613565877603,-1.8863581500855227,0.0,-1.658430732092752,-2.765819956005428,0.0,-1.750503369031262,0.0,0.0,0.0,-0.627621246283056,-0.05912473574933807,-3.016349566571075,-2.616408729743112,-1.6697049701901123
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.098071559639374,-1.45848868923097,-2.7951414092373748,0.0,0.0,0.0,0.0,0.0,-5.333700923296417,0.0,0.0,0.0,-2.0319099891014916,0.0,0.0,0.0,0.0,-7.152366807615648,-1.4673053935122764,0.0,0.0,-2.6573451482339765
2,0.0,0.0,0.0,0.0,0.0,0.0,-0.35032287951341085,0.0,0.0,-0.8120000747788322,0.0,0.0,0.0,0.0,-2.0707775233989065,-1.151498078536075,-1.0321537211955596,0.0,0.0,-0.2868768053030348,-2.620106482534323,-2.8285329318908894,0.0,-0.023415879236874184,0.0,-4.874623726451301,-3.6242569992095195,0.0,-0.30465446280327535,-2.580013537916093
3,0.0,0.0,0.0,0.0,0.0,0.0,-0.4479871692996834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1635030343912671,-0.9650592927990105,0.0,0.0,-5.684406135082814,0.0,-1.1274254406387885,0.0,0.0,-0.1194526410573134,-4.109845674014306,-2.578812359808796,0.0,-0.41908271916095874,-1.8440083782884107
4,0.0,0.0,0.0,0.0,0.0,0.0,-0.16507565317675107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13568236352572835,0.0,0.0,-1.0571689620918945,-7.015091329992343,0.0,0.0,0.0,-1.029654117561838,-1.6254873880159106,-1.071814516166114,-0.2961452336817517,-0.7859891612058305,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8629430680947999,-0.5214078758168936,-1.9771597877687435,0.0,0.0,0.0,-0.3307952891351767,-0.9066895965836801,-2.277093980895369,-2.511344433850397,-0.4290190079065266
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0284123578577617,0.0,0.0,-1.057501542393119,-0.49690283883171626,0.0,0.0,0.0,0.0,-0.3388130324173045,-0.5286110565510667,0.0,-0.3108994028520633,-1.5002854687254765,-2.9869063546757246,-1.1524743458499043
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3116689579713019,0.0,0.0,0.0,0.0,0.0,-0.04898571934040877,-1.200055024610908,0.0,-0.9582768091391454,-2.6275011995729245,-0.4819243984525943,-0.6844469937693419,-2.346362059302668,-0.018047998603333427,-1.7960637442606875
8,0.0,-0.3017894608565593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3373693900748798,-1.276343166957654,0.0,0.0,0.0,-0.09395359046707462,-1.7763529781986453,0.0,0.0,0.0,0.0,-3.222878011797991,0.0,0.0,-0.8906842531256869
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42620263905460737,0.0,0.0,0.0,0.0,-0.4911124744816675,-0.7817633098664799,0.0,-0.6242317750805868,0.0,-1.4083661053535719,-0.17308501843511798,0.0
