step,seller_id,buyer_id,p2p_energy,price,carbon_intensity,actual_carbon_responsibility,signed_carbon_responsibility,low_carbon_contribution,plotted_carbon_flow
0,25,4,1.1650778165959883,1.276278130710125,-0.4576464891433716,-0.533193772343979,-1.3487482439611709,1.3487482439611709,-0.533193772343979
0,27,4,0.2749326278396782,1.2853940203785896,-0.5346441864967346,-0.14699113115275425,-0.33944397064052895,0.33944397064052895,-0.14699113115275425
0,27,0,1.416195281367834,1.2853387892246246,-0.5346441864967346,-0.7571605741274198,-1.7484972710849036,1.7484972710849036,-0.7571605741274198
0,27,8,1.4156690270262458,1.2852900847792625,-0.5346441864967346,-0.756879215303071,-1.747847534221443,1.747847534221443,-0.756879215303071
0,27,1,0.8661462098661745,1.2852692753076553,-0.5346441864967346,-0.4630800357611308,-1.069382382667453,1.069382382667453,-0.4630800357611308
0,26,1,0.4013003383345348,1.2873770669102669,-0.42927491664886475,-0.17226816928971866,-0.45317840612389304,0.45317840612389304,-0.17226816928971866
0,26,15,1.0711316403165942,1.2872151508927345,-0.42927491664886475,-0.4598099456168678,-1.2096020938384837,1.2096020938384837,-0.4598099456168678
0,26,9,0.5235380422849865,1.2872027456760406,-0.42927491664886475,-0.2247417494643974,-0.5912183790638879,0.5912183790638879,-0.2247417494643974
0,26,2,0.9402870709685142,1.2871993035078049,-0.42927491664886475,-0.4036416540160141,-1.0618426036939739,1.0618426036939739,-0.4036416540160141
0,26,10,0.48477917521420333,1.2871971353888512,-0.42927491664886475,-0.20810354003318254,-0.5474489626831248,0.5474489626831248,-0.20810354003318254
0,20,10,0.3097480036397541,1.34547521173954,-0.347420871257782,-0.10761292129488198,-0.3244365238427098,0.3244365238427098,-0.10761292129488198
0,20,17,0.6312476332593837,1.3453326746821404,-0.347420871257782,-0.2193086027263879,-0.6611819460079565,0.6611819460079565,-0.2193086027263879
0,20,6,0.5407965742180281,1.3452957943081856,-0.347420871257782,-0.18788401698805107,-0.5664416189406707,0.5664416189406707,-0.18788401698805107
0,20,3,0.42326739046588635,1.3452430665493011,-0.347420871257782,-0.14705192557066604,-0.44333909889678647,0.44333909889678647,-0.14705192557066604
0,20,16,0.13463599600757714,1.3449684977531433,-0.347420871257782,-0.046775355035611706,-0.1410205522409157,0.1410205522409157,-0.046775355035611706
0,20,14,0.11902416315146525,1.3449391275644302,-0.347420871257782,-0.04135147846281045,-0.12466839266883611,0.12466839266883611,-0.04135147846281045
0,28,14,0.06398833227883927,1.347848653793335,-0.5370084643363953,-0.03436227605250647,-0.07915410864769395,0.07915410864769395,-0.03436227605250647
0,28,13,0.12319910422421065,1.3476125746965408,-0.5370084643363953,-0.06615896176706287,-0.15239833472401032,0.15239833472401032,-0.06615896176706287
0,28,7,0.0758588317660438,1.3473320826888084,-0.5370084643363953,-0.04073683475303614,-0.09383801698926679,0.09383801698926679,-0.04073683475303614
0,28,5,0.04242284494092807,1.3472635075449944,-0.5370084643363953,-0.022781426814508798,-0.052477418273158445,0.052477418273158445,-0.022781426814508798
1,25,4,1.447140145465123,1.2065127566456795,-0.6045852303504944,-0.8749195581954793,-1.8879176600210652,1.8879176600210652,-0.8749195581954793
1,27,4,0.622799734371253,1.2076653577387333,-0.6186069846153259,-0.38526826569862677,-0.8212280797585039,0.8212280797585039,-0.38526826569862677
1,27,1,1.4585779746382206,1.207611445337534,-0.6186069846153259,-0.9022865227172789,-1.9232911049640333,1.9232911049640333,-0.9022865227172789
1,28,1,0.16978547148347212,1.2587694190442562,-0.6239340305328369,-0.1059349335486008,-0.22478476358703128,0.22478476358703128,-0.1059349335486008
1,28,0,1.3028580748298446,1.2587341703474522,-0.6239340305328369,-0.8128974898408374,-1.7248981422217287,1.7248981422217287,-0.8128974898408374
1,21,0,0.14322169239745142,1.288495559245348,-0.5929210782051086,-0.0849191602786573,-0.1851743449568733,0.1851743449568733,-0.0849191602786573
1,21,8,1.5650968644824212,1.2884855456650257,-0.5929210782051086,-0.927978920384352,-2.023546725522047,2.023546725522047,-0.927978920384352
1,20,8,0.11037683777211682,1.2903404496610165,-0.48333004117012024,-0.053348441544624904,-0.1306122279851067,0.1306122279851067,-0.053348441544624904
1,20,2,1.6065832024057267,1.2902048863470554,-0.48333004117012024,-0.7765099253619835,-1.9011181670459922,1.9011181670459922,-0.7765099253619835
1,20,10,1.1087745237854876,1.290141250938177,-0.48333004117012024,-0.5359040362296201,-1.3120462028794615,1.3120462028794615,-0.5359040362296201
1,20,6,0.9069794252837713,1.2901092432439327,-0.48333004117012024,-0.4383704029628572,-1.073256000661497,1.073256000661497,-0.4383704029628572
1,22,6,0.1840050977987273,1.291094396263361,-0.3809739053249359,-0.07010114070807791,-0.19890470916718703,0.19890470916718703,-0.07010114070807791
1,22,9,0.6701025371637424,1.2910758666694164,-0.3809739053249359,-0.25529158055141893,-0.7243633565660386,0.7243633565660386,-0.25529158055141893
1,22,3,1.0061522369886577,1.29103596881032,-0.3809739053249359,-0.3833177470769894,-1.0876243129690497,1.0876243129690497,-0.3833177470769894
1,22,12,0.121131156770383,1.2903942503035069,-0.3809739053249359,-0.046147809851339865,-0.13093961959060796,0.13093961959060796,-0.046147809851339865
1,22,7,0.38274171497349213,1.2903401367366314,-0.3809739053249359,-0.1458146058842148,-0.41373380636565926,0.41373380636565926,-0.1458146058842148
1,22,5,0.10897514804293974,1.2900221608579159,-0.3809739053249359,-0.0415166877332818,-0.11779929136333962,0.11779929136333962,-0.0415166877332818
2,21,4,2.34019094119743,1.2012381870299578,-0.6604886054992676,-1.545669451353509,-3.1838031101917097,3.1838031101917097,-1.545669451353509
2,21,1,0.6102155576083277,1.2012372929602861,-0.6604886054992676,-0.40304042269868234,-0.8301913130245117,0.8301913130245117,-0.40304042269868234
2,25,1,1.3526553411264215,1.2033662181347609,-0.65507572889328,-0.8860916835297789,-1.832950422318274,1.832950422318274,-0.8860916835297789
2,25,0,0.23392611916122963,1.2032990958541632,-0.65507572889328,-0.15323932301671878,-0.3169876064295795,0.3169876064295795,-0.15323932301671878
2,20,0,1.6468207376820367,1.2415466867387295,-0.6201086640357971,-1.0212078075504536,-2.1739823239278793,2.1739823239278793,-1.0212078075504536
2,20,8,1.874042186993885,1.241469617933035,-0.6201086640357971,-1.1621097969235015,-2.4739393278192208,2.4739393278192208,-1.1621097969235015
2,26,8,0.28817352587377476,1.2555785737931728,-0.6550418734550476,-0.18876572626850405,-0.3904871943801464,0.3904871943801464,-0.18876572626850405
2,26,2,1.8936148937056576,1.255573857575655,-0.6550418734550476,-1.2403970475753348,-2.565927473169295,2.565927473169295,-1.2403970475753348
2,26,9,0.9282756856612908,1.255535077303648,-0.6550418734550476,-0.6080594442183408,-1.2578524241812443,1.2578524241812443,-0.6080594442183408
2,22,9,0.49979104699307975,1.2874293364584446,-0.4304681122303009,-0.21514410850871665,-0.5649978414038724,0.5649978414038724,-0.21514410850871665
2,22,6,1.4713522891937403,1.2873798497021198,-0.4304681122303009,-0.6333702423549611,-1.6633168447905793,1.6633168447905793,-0.6333702423549611
2,22,10,0.9841262832583706,1.2873363755643368,-0.4304681122303009,-0.4236349833504532,-1.1125233816313125,1.1125233816313125,-0.4236349833504532
2,22,3,1.1021488792722944,1.2873332910239697,-0.4304681122303009,-0.4744399474570864,-1.2459441629476924,1.2459441629476924,-0.4744399474570864
2,27,3,0.42211314322079874,1.3052508048713207,-0.6554950475692749,-0.2766930748951336,-0.5721722751496927,0.5721722751496927,-0.2766930748951336
2,27,7,0.7778410212833845,1.3047971539199352,-0.6554950475692749,-0.5098709372474854,-1.0543596521458547,1.0543596521458547,-0.5098709372474854
2,27,5,0.5473220541675772,1.3047040365636349,-0.6554950475692749,-0.3587668959322893,-0.7418923338495933,0.7418923338495933,-0.3587668959322893
3,19,1,2.353038663599262,1.2197464741766453,-0.691805362701416,-1.6278447661217426,-3.274971830641226,3.274971830641226,-1.6278447661217426
3,21,1,0.25196305945090813,1.2227257937192917,-0.6824970841407776,-0.1719640533864342,-0.34833819500206986,0.34833819500206986,-0.1719640533864342
3,21,0,2.3974478101214745,1.2227147966623306,-0.6824970841407776,-1.636251139787599,-3.314464606872631,3.314464606872631,-1.636251139787599
3,21,4,0.7615594228310298,1.222688913345337,-0.6824970841407776,-0.5197620854821113,-1.0528536814638323,1.0528536814638323,-0.5197620854821113
3,20,4,1.753402974192106,1.2415714971721172,-0.6655473709106445,-1.1669727396204608,-2.394354821554935,2.394354821554935,-1.1669727396204608
3,20,6,1.6735143042287715,1.2414894439280033,-0.6655473709106445,-1.1138030453608154,-2.285263058320955,2.285263058320955,-1.1138030453608154
3,15,6,0.2543896079625261,1.2605631686747074,-0.6918907761573792,-0.17600982329956358,-0.3540825488733318,0.3540825488733318,-0.17600982329956358
3,15,2,0.5736144006643444,1.2605567760765553,-0.6918907761573792,-0.39687851289070314,-0.7984085933557442,0.7984085933557442,-0.39687851289070314
3,22,2,1.5947340582607223,1.295704286545515,-0.4103204607963562,-0.6543520136331827,-1.7706658544156884,1.7706658544156884,-0.6543520136331827
3,22,3,1.6105771201889967,1.2956709377467632,-0.4103204607963562,-0.6608527461040175,-1.788256730236315,1.788256730236315,-0.6608527461040175
3,16,3,0.3525008307408932,1.301399152725935,-0.6319818496704102,-0.22277412702198587,-0.4695247085406111,0.4695247085406111,-0.22277412702198587
3,16,8,1.3742383507927232,1.301379706710577,-0.6319818496704102,-0.8684936948219991,-1.8304605403769052,1.8304605403769052,-0.8684936948219991
3,13,8,0.7049456552085986,1.3023498840630054,-0.6774486303329468,-0.4775644685802269,-0.9710264272262459,0.9710264272262459,-0.4775644685802269
3,13,9,0.256250850657918,1.3019783087074757,-0.6774486303329468,-0.17359678779985901,-0.3529723832604016,0.3529723832604016,-0.17359678779985901
3,25,9,0.060739418627210884,1.305388379842043,-0.6766806840896606,-0.04110119134786934,-0.08361878438691696,0.08361878438691696,-0.04110119134786934
3,25,7,0.9515306095006298,1.305281963199377,-0.6766806840896606,-0.643882383769138,-1.3099538104195787,1.3099538104195787,-0.643882383769138
3,25,5,0.45227642870337503,1.3052089177072048,-0.6766806840896606,-0.30604672317262843,-0.6226402232649909,0.6226402232649909,-0.30604672317262843
