seller_id,buyer_0,buyer_1,buyer_2,buyer_3,buyer_4,buyer_5,buyer_6,buyer_7,buyer_8,buyer_9,buyer_10,buyer_11,buyer_12,buyer_13,buyer_14,buyer_15,buyer_16,buyer_17,buyer_18,buyer_19,buyer_20,buyer_21,buyer_22,buyer_23,buyer_24,buyer_25,buyer_26,buyer_27,buyer_28,buyer_29
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8712595188596807,0.8166918463681123,1.5797531923824917,0.0,0.0,2.3317111052835524,0.0,1.7830066170880077,2.6948471970350765,0.0,2.3696452312173677,3.951677905548575,0.0,2.500928473799623,0.0,0.0,0.0,0.8966183628855813,0.08447098003771814,4.320868687689597,3.739485102264659,2.385754402391075
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.997266683133553,2.0835813859500947,3.9931224443988627,0.0,0.0,0.0,0.0,0.0,7.619834313038326,0.0,0.0,0.0,2.904453838869329,0.0,0.0,0.0,0.0,10.219152039632476,2.096363553482505,0.0,0.0,3.800608804926335
2,0.0,0.0,0.0,0.0,0.0,0.0,0.5004616911111319,0.0,0.0,1.1600011143166666,0.0,0.0,0.0,0.0,2.9582609601726313,1.6450013451256047,1.474543635880892,0.0,0.0,0.4098246077931109,3.743026359442116,4.040808193983586,0.0,0.033478740199716334,0.0,6.964011496701408,5.1779051833017675,0.0,0.43523197179286033,3.6858508182471685
3,0.0,0.0,0.0,0.0,0.0,0.0,0.6399826622225395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6621608073802836,1.3786774043050751,0.0,0.0,8.12065589384847,0.0,1.6106664988728037,0.0,0.0,0.17081402826335634,5.871739473957031,3.684205449330343,0.0,0.5992768916770759,2.6346149325503845
4,0.0,0.0,0.0,0.0,0.0,0.0,0.23582345003046568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19383284245233257,0.0,0.0,1.510267341133884,10.022065778437241,0.0,0.0,0.0,1.4711871499966998,2.3221713465213303,1.5312363707165244,0.42324983378776704,1.1230345552745835,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2328058547773364,0.7448694215132363,2.824610535232692,0.0,0.0,0.0,0.4725972218750232,1.2952744036634531,3.2532210846217335,3.587768206309925,0.6128875430446592
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.469174172083698,0.0,0.0,1.5107444295502233,0.70986779891223,0.0,0.0,0.0,0.0,0.4843035407154586,0.7551859298447967,0.0,0.4441448102223022,2.1433423737375654,4.267267859214542,1.6467231447522197
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44524198270691917,0.0,0.0,0.0,0.0,0.0,0.06997965983679855,1.7143890205796108,0.0,1.368975985785919,3.7536280454917277,0.6884940989206345,0.9777822688986613,3.351955845694154,0.025786476304918128,2.565808888276501
8,0.0,0.43162956105022854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9105889024580902,1.8234393292617297,0.0,0.0,0.0,0.1342237145733045,2.537859794845926,0.0,0.0,0.0,0.0,4.604852555528999,0.0,0.0,1.273003899505724
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6088805210421973,0.0,0.0,0.0,0.0,0.701628333324116,1.1168669432281702,0.0,0.89233799385422,0.0,2.0123700244078297,0.24742466545647201,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19013855733003854,0.0,0.0,0.0,0.0,0.0,2.702192365841206,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4951010206426984,0.0,0.21353741631205944,0.08105514955330662,0.5106442092264846,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933646582130274,0.0
13,2.387444476946018,0.0,0.0,0.0,1.6380530569497291,0.0,0.0,0.0,0.7049456552085986,0.256250850657918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48892302302546325,0.0,0.0,1.7388680616765981,1.2940896116100915,2.5155144755927052,0.9122479144515663,1.6107537358260995
