method,method_label,scale_reward_mean,scale_reward_std,scale_p2p_mean,scale_p2p_std,scale_grid_trade_mean,scale_grid_trade_std,scale_carbon_mean,scale_carbon_std,scale_inactive_action_abs_mean,scale_inactive_action_abs_std,dynamic_reward_mean,dynamic_reward_std,dynamic_p2p_mean,dynamic_p2p_std,dynamic_grid_trade_mean,dynamic_grid_trade_std,dynamic_carbon_mean,dynamic_carbon_std,dynamic_inactive_action_abs_mean,dynamic_inactive_action_abs_std,noise_reward_mean,noise_reward_std,noise_p2p_mean,noise_p2p_std,noise_grid_trade_mean,noise_grid_trade_std,noise_carbon_mean,noise_carbon_std,noise_inactive_action_abs_mean,noise_inactive_action_abs_std,inactive_noise_reward_drop,inactive_noise_reward_delta,inactive_noise_reward_sensitivity,scale_agent_count_points,dynamic_scenario_count,mask_isolation_score
full_ours,Full / Ours,77.53928328884973,0.0,0.0,0.0,4.856352830696884,0.0,3.1313593745313875,0.0,0.0,0.0,74.43815933846875,2.608230373368999,0.2387562518853037,0.029549406539088167,2.876553402313484,0.20874905645282382,2.054233690664833,0.12722931485828626,0.0,0.0,70.25436852831861,0.0,0.22176224846142958,0.0,3.056192899344985,0.0,2.194369829996606,0.0,0.0,0.0,0.0,0.0,0.0,1,5,1.0
without_structured_mask,w/o Structured Mask,86.54623193211025,0.0,0.0,0.0,4.324409847118244,0.0,2.95611764089661,0.0,0.5984782627563672,0.0,74.46542337742365,2.5473599431776797,0.23057458880285586,0.03622768367884085,2.861181575889166,0.17932794787190184,2.054446579079451,0.12098726350549875,0.5961233856844227,0.016359314169055634,70.02907271019109,0.0,0.2044169611232914,0.0,3.0509242269515,0.0,2.199481835939215,0.0,0.6783473291168546,0.0,-0.005985985451502529,0.005985985451502529,0.005985985451502529,1,5,0.0
