method,method_label,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,seed_count,eval_episodes_per_seed,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_agents_std,attn_leakage_per_call,attn_leakage_per_call_std,attn_entropy_mean,attn_entropy_std,inactive_action_abs_mean,inactive_action_abs_std
full_ours,Full / Ours,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,3,1,76.22289270450256,1.678154298828432,0.25191644125748885,0.1584330880841428,2.597365622427252,0.05989810711953912,0.13591976585849708,0.057166556511999325,2.733285388285749,0.06936029929933359,1.9686207921054422,0.033570830076582556,19.583333333333332,0.0,0.0,0.0,1.8843144730059176,0.15040479701543696,0.0,0.0
full_ours,Full / Ours,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,3,1,70.25436852831861,1.0777811656953573,0.22176224846142958,0.09033790617068758,2.97746808441643,0.03804939521805654,0.07872481492855503,0.047912593141239544,3.056192899344985,0.05707084146209335,2.194369829996606,0.02161137289037165,19.375,0.0,0.0,0.0,1.8135913544502413,0.18924741788413735,0.0,0.0
full_ours,Full / Ours,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,3,1,75.92193393764204,1.7343726601940117,0.2844202651997683,0.13933050321166637,2.567807782233229,0.04109708948524458,0.12556591120656535,0.055666212957375505,2.6933736934397943,0.09665861598807894,1.9362557139368388,0.03379404058367062,25.75,0.0,0.0,0.0,2.096709003634683,0.16552346034350635,0.0,0.0
full_ours,Full / Ours,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,3,1,76.29251576176397,1.5903197678672913,0.22378245149740808,0.10813873709463544,2.641688289292167,0.04302102796370314,0.1118290719551072,0.04549030224956923,2.7535173612472743,0.08850866167353827,1.9814396887218144,0.030870112926962005,30.0,0.0,nan,nan,2.205104916609267,0.17431452015355764,nan,nan
full_ours,Full / Ours,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,3,1,73.49908576011659,1.197258517947879,0.2118998530104236,0.11157051134415794,3.038278594965116,0.13359823773479618,0.1081190742845014,0.04263200360879799,3.1463976692496174,0.11556221216608104,2.1904824285634636,0.02223913057520059,20.0,0.0,0.0,0.0,1.715408195129075,0.17872096657931508,0.0,0.0
full_ours,Full / Ours,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,1.0,3,1,70.25436852831861,1.0777811656953573,0.22176224846142958,0.09033790617068758,2.97746808441643,0.03804939521805654,0.07872481492855503,0.047912593141239544,3.056192899344985,0.05707084146209335,2.194369829996606,0.02161137289037165,19.375,0.0,0.0,0.0,1.8093714248558646,0.18989961351421378,0.0,0.0
full_ours,Full / Ours,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,3,1,77.53928328884973,0.6819022378187749,0.0,0.0,4.442855606879373,0.04621808730251273,0.4134972238175105,0.04134545932341436,4.856352830696884,0.03452123442207544,3.1313593745313875,0.011800163784043069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
without_structured_mask,w/o Structured Mask,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,3,1,76.10537130147421,2.9082180275455713,0.2504641159884464,0.1851349461505649,2.5544936954914363,0.07491509976236504,0.14848009305190643,0.09463580479046832,2.7029737885433427,0.16818028118352965,1.9719517934996447,0.056548928756255445,19.583333333333332,0.0,nan,nan,2.1334082792582625,0.057272601417514515,0.5903745588726468,0.276446909440444
without_structured_mask,w/o Structured Mask,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,3,1,70.02308672473958,1.9731818437425332,0.20963025656491707,0.12912042086726588,2.955240436453741,0.048431543548733934,0.10069750397277803,0.06541322803507532,3.055937940426519,0.10458397842356691,2.199688565310947,0.038265782077421824,19.375,0.0,nan,nan,2.1290428055440143,0.04673956292101161,0.5762503668633421,0.29614690181766495
without_structured_mask,w/o Structured Mask,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,3,1,75.74966471710053,2.772592622127109,0.2840846053744425,0.18700320149481467,2.5686809697900497,0.07562058858985546,0.144338728405356,0.0763922167004298,2.713019698195406,0.15139617757891005,1.9399890778629605,0.05351520369197405,25.75,0.0,nan,nan,2.1187303155823485,0.08271213290238803,0.6137642208527375,0.2316843528825696
