step,phase,cmtm_mode,agent0_carbon_mass,agent0_storage_intensity,agent0_energy,agent0_active,agent1_carbon_mass,agent1_storage_intensity,agent1_energy,agent1_active,agent2_carbon_mass,agent2_storage_intensity,agent2_energy,agent2_active,agent3_carbon_mass,agent3_storage_intensity,agent3_energy,agent3_active,agent4_carbon_mass,agent4_storage_intensity,agent4_energy,agent4_active
23,discharge,stateless,0.0,0.0,0.0030287485310020058,1.0,0.0,0.0,0.0030027347629076294,1.0,0.0,0.0,0.003012427589498403,1.0,0.0,0.0,0.0030288825865216265,1.0,0.0,0.0,0.003028396785321262,1.0
0,charge,stateless,0.0,0.0,4.848758331415111,1.0,0.0,0.0,5.342031963600766,1.0,0.0,0.0,5.872435846021157,1.0,0.0,0.0,8.193055443930088,1.0,0.0,0.0,4.615063774552067,1.0
1,charge,stateless,0.0,0.0,7.128758365389758,1.0,0.0,0.0,7.622031997575413,1.0,0.0,0.0,8.152435879995805,1.0,0.0,0.0,10.473055477904737,1.0,0.0,0.0,6.895063808526714,1.0
2,charge,stateless,0.0,0.0,9.408758399364405,1.0,0.0,0.0,9.90203203155006,1.0,0.0,0.0,10.432435913970451,1.0,0.0,0.0,11.694611113783544,1.0,0.0,0.0,9.175063842501363,1.0
3,charge,stateless,0.0,0.0,11.481751710762888,1.0,0.0,0.0,11.580406431319739,1.0,0.0,0.0,11.68648720148091,1.0,0.0,0.0,11.938922226397228,1.0,0.0,0.0,11.435012802176136,1.0
4,charge,stateless,0.0,0.0,11.896350348330579,1.0,0.0,0.0,11.916081291265893,1.0,0.0,0.0,11.937297444033545,1.0,0.0,0.0,11.987784446007549,1.0,0.0,0.0,11.887002567170398,1.0
5,charge,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,1.0,0.0,0.0,11.99755688934713,1.0,0.0,0.0,11.977400514781115,1.0
6,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
7,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
8,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
9,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
10,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
11,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
12,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
13,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
14,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
15,freeze,stateless,0.0,0.0,11.979270070901716,1.0,0.0,0.0,11.983216259253568,1.0,0.0,0.0,11.987459489554182,0.0,0.0,0.0,11.99755688934713,0.0,0.0,0.0,11.977400514781115,0.0
16,discharge,stateless,0.0,0.0,9.452954243782994,1.0,0.0,0.0,9.456900432134844,1.0,0.0,0.0,9.461143662435457,1.0,0.0,0.0,9.471241062228408,1.0,0.0,0.0,9.45108468766239,1.0
17,discharge,stateless,0.0,0.0,6.926638416664271,1.0,0.0,0.0,6.930584605016121,1.0,0.0,0.0,6.934827835316734,1.0,0.0,0.0,6.944925235109685,1.0,0.0,0.0,6.924768860543668,1.0
18,discharge,stateless,0.0,0.0,4.400322589545548,1.0,0.0,0.0,4.404268777897398,1.0,0.0,0.0,4.408512008198011,1.0,0.0,0.0,4.418609407990962,1.0,0.0,0.0,4.3984530334249445,1.0
19,discharge,stateless,0.0,0.0,1.8740067624268244,1.0,0.0,0.0,1.877952950778675,1.0,0.0,0.0,1.882196181079288,1.0,0.0,0.0,1.8922935808722388,1.0,0.0,0.0,1.8721372063062214,1.0
20,discharge,stateless,0.0,0.0,0.37480133014546335,1.0,0.0,0.0,0.3755905677687914,1.0,0.0,0.0,0.3764392137783308,1.0,0.0,0.0,0.3784586936165504,1.0,0.0,0.0,0.37442741894362963,1.0
21,discharge,stateless,0.0,0.0,0.07496026156111263,1.0,0.0,0.0,0.07511810907636979,1.0,0.0,0.0,0.07528783826816104,1.0,0.0,0.0,0.07569173421173087,1.0,0.0,0.0,0.07488547932520329,1.0
22,discharge,stateless,0.0,0.0,0.014992051418626577,1.0,0.0,0.0,0.015023620919796317,1.0,0.0,0.0,0.015057566756131235,1.0,0.0,0.0,0.015138345940030384,1.0,0.0,0.0,0.014977094972336173,1.0
23,discharge,stateless,0.0,0.0,0.0029984101050061374,1.0,0.0,0.0,0.003004724004863745,1.0,0.0,0.0,0.0030115131717260643,1.0,0.0,0.0,0.00302766900754293,1.0,0.0,0.0,0.0029954188159263505,1.0
0,charge,stateless,0.0,0.0,4.668522591062706,1.0,0.0,0.0,7.648527811722266,1.0,0.0,0.0,6.538102378089193,1.0,0.0,0.0,6.3060329164199285,1.0,0.0,0.0,5.428397878971035,1.0
1,charge,stateless,0.0,0.0,6.948522625037353,1.0,0.0,0.0,9.928527845696912,1.0,0.0,0.0,8.81810241206384,1.0,0.0,0.0,8.586032950394575,1.0,0.0,0.0,7.708397912945682,1.0
2,charge,stateless,0.0,0.0,9.228522659012,1.0,0.0,0.0,11.585705593833255,1.0,0.0,0.0,11.098102446038489,1.0,0.0,0.0,10.866032984369223,1.0,0.0,0.0,9.98839794692033,1.0
3,charge,stateless,0.0,0.0,11.445704564840984,1.0,0.0,0.0,11.917141123705425,1.0,0.0,0.0,11.819620499959154,1.0,0.0,0.0,11.773206610391785,1.0,0.0,0.0,11.597679613364232,1.0
4,charge,stateless,0.0,0.0,11.889140919575913,1.0,0.0,0.0,11.98342822572884,1.0,0.0,0.0,11.963924102142123,1.0,0.0,0.0,11.954641324781944,1.0,0.0,0.0,11.919535927468878,1.0
5,charge,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,1.0,0.0,0.0,11.990928265497107,1.0,0.0,0.0,11.983907186452981,1.0
6,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
7,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
8,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
9,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
10,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
11,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
12,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
13,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
14,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
15,freeze,stateless,0.0,0.0,11.977828185236726,1.0,0.0,0.0,11.99668564534332,1.0,0.0,0.0,11.992784820858482,0.0,0.0,0.0,11.990928265497107,0.0,0.0,0.0,11.983907186452981,0.0
16,discharge,stateless,0.0,0.0,9.451512358118002,1.0,0.0,0.0,9.470369818224597,1.0,0.0,0.0,9.46646899373976,1.0,0.0,0.0,9.464612438378385,1.0,0.0,0.0,9.457591359334259,1.0
17,discharge,stateless,0.0,0.0,6.925196530999279,1.0,0.0,0.0,6.944053991105874,1.0,0.0,0.0,6.9401531666210365,1.0,0.0,0.0,6.938296611259662,1.0,0.0,0.0,6.931275532215536,1.0
18,discharge,stateless,0.0,0.0,4.398880703880556,1.0,0.0,0.0,4.417738163987151,1.0,0.0,0.0,4.413837339502313,1.0,0.0,0.0,4.411980784140939,1.0,0.0,0.0,4.404959705096813,1.0
19,discharge,stateless,0.0,0.0,1.8725648767618326,1.0,0.0,0.0,1.8914223368684278,1.0,0.0,0.0,1.8875215123835902,1.0,0.0,0.0,1.8856649570222155,1.0,0.0,0.0,1.8786438779780896,1.0
20,discharge,stateless,0.0,0.0,0.3745129530296538,1.0,0.0,0.0,0.3782844448261742,1.0,0.0,0.0,0.377504279975708,1.0,0.0,0.0,0.37713296892556514,1.0,0.0,0.0,0.37572875320043786,1.0
21,discharge,stateless,0.0,0.0,0.07490258614138845,1.0,0.0,0.0,0.07565688445573282,1.0,0.0,0.0,0.07550085149493996,1.0,0.0,0.0,0.07542658928933771,1.0,0.0,0.0,0.0751457461610518,1.0
22,discharge,stateless,0.0,0.0,0.01498051633536928,1.0,0.0,0.0,0.015131375989246215,1.0,0.0,0.0,0.015100169398947705,1.0,0.0,0.0,0.015085316958712527,1.0,0.0,0.0,0.015029148336403259,1.0
23,discharge,stateless,0.0,0.0,0.002996103088492184,1.0,0.0,0.0,0.0030262750174691842,1.0,0.0,0.0,0.003020033699781495,1.0,0.0,0.0,0.0030170632119115148,1.0,0.0,0.0,0.0030058294881192427,1.0
0,charge,stateless,0.0,0.0,5.043149518591263,1.0,0.0,0.0,5.039790572284391,1.0,0.0,0.0,5.804478158900025,1.0,0.0,0.0,4.7636033668096704,1.0,0.0,0.0,6.659119292119216,1.0
1,charge,stateless,0.0,0.0,7.32314955256591,1.0,0.0,0.0,7.319790606259039,1.0,0.0,0.0,8.084478192874673,1.0,0.0,0.0,7.043603400784318,1.0,0.0,0.0,8.939119326093863,1.0
2,charge,stateless,0.0,0.0,9.603149586540557,1.0,0.0,0.0,9.599790640233685,1.0,0.0,0.0,10.364478226849322,1.0,0.0,0.0,9.323603434758965,1.0,0.0,0.0,11.219119360068511,1.0
3,charge,stateless,0.0,0.0,11.520629945880795,1.0,0.0,0.0,11.519958156659463,1.0,0.0,0.0,11.672895664866804,1.0,0.0,0.0,11.464720718856926,1.0,0.0,0.0,11.843823881322525,1.0
4,charge,stateless,0.0,0.0,11.904125994890695,1.0,0.0,0.0,11.903991637054437,1.0,0.0,0.0,11.934579136872749,1.0,0.0,0.0,11.892944150152411,1.0,0.0,0.0,11.96876477812627,1.0
