step,seller_0_output_intensity,seller_1_output_intensity,buyer_carbon_p2p_import,buyer_carbon_load,cmtm_mode
8,0.4724618196487427,0.699999988079071,1.0618535829098774,3.386728670379642,stateless
9,0.4763805568218231,0.699999988079071,1.0692800820560735,3.757600939136175,stateless
10,0.4665617346763611,0.699999988079071,1.0782465663826704,3.764069348020439,stateless
11,0.04283196106553078,0.699999988079071,0.821221217750307,3.6783906397140402,stateless
12,0.4260194003582001,0.1855994015932083,0.0,3.619942064044279,stateless
13,0.4919068515300751,0.6843059062957764,0.0,3.4757604859859352,stateless
14,0.4718528091907501,0.6993157863616943,0.0,3.4983303181265466,stateless
15,0.47548556327819824,0.6999692916870117,0.0,3.7524362403722544,stateless
16,0.4818509817123413,0.6999989748001099,0.0,3.4964322828457806,stateless
17,0.4778348505496979,0.6999999284744263,0.0,3.7229727994817448,stateless
18,0.4441530704498291,0.699999988079071,0.0,3.2507620651348184,stateless
19,0.4576735198497772,0.699999988079071,0.0,3.7299833807492493,stateless
20,0.4726029932498932,0.699999988079071,0.0,3.602995625923448,stateless
21,0.47220396995544434,0.699999988079071,0.0,3.667443199593997,stateless
22,0.4527209997177124,0.699999988079071,0.0,3.6484733318160196,stateless
23,0.4462521970272064,0.699999988079071,0.0,3.4441592249025375,stateless
8,0.46750494837760925,0.699999988079071,1.0430946868826392,3.7771847180344102,stateless
9,0.46888160705566406,0.699999988079071,1.0463634901609118,3.5960627021810856,stateless
10,0.45943817496299744,0.699999988079071,1.1022262944818226,3.6689646585825666,stateless
11,0.43865370750427246,0.699999988079071,0.8522573617597835,3.3493451082108385,stateless
12,0.4431745409965515,0.3146756887435913,0.0,3.506947866101316,stateless
13,0.4544398784637451,0.6800273656845093,0.0,3.3859843474269544,stateless
14,0.44551390409469604,0.6993550062179565,0.0,3.5537642601635566,stateless
15,0.4753354489803314,0.6999694108963013,0.0,3.7664510444977686,stateless
16,0.48309409618377686,0.6999990344047546,0.0,3.7495478278497263,stateless
17,0.4738350510597229,0.6999999284744263,0.0,3.3062690708705693,stateless
18,0.48450273275375366,0.699999988079071,0.0,3.746075674365103,stateless
19,0.46806755661964417,0.699999988079071,0.0,3.5348122544615226,stateless
20,0.43843114376068115,0.699999988079071,0.0,3.3306220912667532,stateless
21,0.4707199037075043,0.699999988079071,0.0,3.364350189957774,stateless
22,0.4904560446739197,0.699999988079071,0.0,3.7716371829112574,stateless
23,0.48829853534698486,0.699999988079071,0.0,3.5852681517724605,stateless
8,0.49027907848358154,0.699999988079071,1.0589136608259604,3.419214547215334,stateless
9,0.4650386869907379,0.699999988079071,1.0436566055256518,3.635667819921734,stateless
10,0.481472373008728,0.699999988079071,1.067917021522711,3.320094906506665,stateless
11,0.0038300640881061554,0.699999988079071,0.8414619987330658,3.692275458952632,stateless
12,0.4247460663318634,0.3033243417739868,0.0,3.3642280981382293,stateless
13,0.45200780034065247,0.6832699775695801,0.0,3.2489436131484575,stateless
14,0.4893819987773895,0.6993789076805115,0.0,3.352359108559015,stateless
15,0.4707868695259094,0.6999703049659729,0.0,3.7434275525431304,stateless
16,0.4601138234138489,0.699998676776886,0.0,3.773885424926557,stateless
17,0.46438002586364746,0.6999999284744263,0.0,3.2766774361715303,stateless
18,0.4259224832057953,0.699999988079071,0.0,3.3094104724188225,stateless
19,0.47948160767555237,0.699999988079071,0.0,3.298821522223782,stateless
20,0.4301341772079468,0.699999988079071,0.0,3.4362558495612543,stateless
21,0.46822449564933777,0.699999988079071,0.0,3.338118551705387,stateless
22,0.4497925639152527,0.699999988079071,0.0,3.754400453115343,stateless
23,0.45313483476638794,0.699999988079071,0.0,3.372213860137049,stateless
8,0.49573853611946106,0.699999988079071,1.0815635655849323,3.778625298289786,stateless
9,0.4428806006908417,0.699999988079071,1.0722974246782924,3.2329233483485442,stateless
10,0.4443930387496948,0.699999988079071,1.0984727082290433,3.2376331520497725,stateless
11,0.06281903386116028,0.699999988079071,0.8249864285481211,3.510769744034597,stateless
12,0.40842512249946594,0.27199554443359375,0.0,3.241007940885605,stateless
13,0.4363868534564972,0.6822790503501892,0.0,3.5757624049285566,stateless
14,0.4526386857032776,0.6991690397262573,0.0,3.684924524665157,stateless
15,0.45293089747428894,0.699974775314331,0.0,3.459486441482217,stateless
16,0.4518338739871979,0.6999988555908203,0.0,3.4019710033316715,stateless
17,0.4415445923805237,0.6999999284744263,0.0,3.2790231856443164,stateless
18,0.4761563539505005,0.699999988079071,0.0,3.686576302190246,stateless
19,0.45478925108909607,0.699999988079071,0.0,3.6344324192035224,stateless
20,0.4634402394294739,0.699999988079071,0.0,3.663451575153013,stateless
21,0.4496960937976837,0.699999988079071,0.0,3.6198040650172403,stateless
22,0.4604010581970215,0.699999988079071,0.0,3.245887761771226,stateless
23,0.4772389233112335,0.699999988079071,0.0,3.444483676679394,stateless
8,0.46207329630851746,0.699999988079071,1.05565927085693,3.7274062365676337,stateless
9,0.4476085603237152,0.699999988079071,1.1083522655364213,3.465884182210382,stateless
10,0.4441501498222351,0.699999988079071,1.0591408825023285,3.3167329587979353,stateless
11,0.4317237138748169,0.699999988079071,0.8426031330705891,3.3356240871215364,stateless
12,0.4277774393558502,0.25560489296913147,0.0,3.7001995062214523,stateless
13,0.44629186391830444,0.6807748675346375,0.0,3.322037597247052,stateless
14,0.4833572208881378,0.6993405222892761,0.0,3.401987709031052,stateless
15,0.48410236835479736,0.6999691724777222,0.0,3.6171159413583944,stateless
16,0.46235257387161255,0.6999988555908203,0.0,3.7550993184510664,stateless
17,0.4943849444389343,0.6999999284744263,0.0,3.420568319441031,stateless
18,0.43250423669815063,0.699999988079071,0.0,3.39516135694085,stateless
19,0.4811052680015564,0.699999988079071,0.0,3.544286407086681,stateless
20,0.4929199516773224,0.699999988079071,0.0,3.469527436316462,stateless
21,0.4684508144855499,0.699999988079071,0.0,3.706043553315678,stateless
22,0.48748481273651123,0.699999988079071,0.0,3.7367163437846065,stateless
23,0.4546460807323456,0.699999988079071,0.0,3.491172623419708,stateless
