step,seller_0_output_intensity,seller_1_output_intensity,buyer_carbon_p2p_import,buyer_carbon_load,cmtm_mode
8,0.011851823888719082,0.699999988079071,1.0445307024710158,3.3694056752279713,full
9,0.04862890765070915,0.699999988079071,1.0692800820560735,3.757600939136175,full
10,0.05163760855793953,0.699999988079071,1.0782465663826704,3.764069348020439,full
11,0.11997728794813156,0.699999988079071,0.821221217750307,3.6783906397140402,full
12,0.39685308933258057,0.699999988079071,0.0,3.619942064044279,full
13,0.4837562143802643,0.699999988079071,0.0,3.4757604859859352,full
14,0.4700740575790405,0.699999988079071,0.0,3.4983303181265466,full
15,0.4751582145690918,0.699999988079071,0.0,3.7524362403722544,full
16,0.4817846417427063,0.699999988079071,0.0,3.4964322828457806,full
17,0.4778211712837219,0.699999988079071,0.0,3.7229727994817448,full
18,0.44415050745010376,0.699999988079071,0.0,3.2507620651348184,full
19,0.45767298340797424,0.699999988079071,0.0,3.7299833807492493,full
20,0.47260287404060364,0.699999988079071,0.0,3.602995625923448,full
21,0.47220394015312195,0.699999988079071,0.0,3.667443199593997,full
22,0.4527209997177124,0.699999988079071,0.0,3.6484733318160196,full
23,0.4462521970272064,0.699999988079071,0.0,3.4441592249025375,full
8,0.029802355915308,0.699999988079071,1.0430946868826392,3.7771847180344102,full
9,0.0587790422141552,0.699999988079071,1.0463634901609118,3.5960627021810856,full
10,0.003944601397961378,0.699999988079071,1.0826628776240352,3.6494012490069796,full
11,0.052977096289396286,0.699999988079071,0.8522573617597835,3.3493451082108385,full
12,0.4107799828052521,0.699999988079071,0.0,3.506947866101316,full
13,0.44692716002464294,0.699999988079071,0.0,3.3859843474269544,full
14,0.4438244700431824,0.699999988079071,0.0,3.5537642601635566,full
15,0.4749893248081207,0.699999988079071,0.0,3.7664510444977686,full
16,0.48302415013313293,0.699999988079071,0.0,3.7495478278497263,full
17,0.47382187843322754,0.699999988079071,0.0,3.3062690708705693,full
18,0.48450005054473877,0.699999988079071,0.0,3.746075674365103,full
19,0.46806707978248596,0.699999988079071,0.0,3.5348122544615226,full
20,0.4384310245513916,0.699999988079071,0.0,3.3306220912667532,full
21,0.4707199037075043,0.699999988079071,0.0,3.364350189957774,full
22,0.4904560446739197,0.699999988079071,0.0,3.7716371829112574,full
23,0.48829853534698486,0.699999988079071,0.0,3.5852681517724605,full
8,0.07838769257068634,0.699999988079071,1.0589136608259604,3.419214547215334,full
9,0.028859511017799377,0.699999988079071,1.0436566055256518,3.635667819921734,full
10,0.06400078535079956,0.699999988079071,1.067917021522711,3.320094906506665,full
11,0.10388438403606415,0.699999988079071,0.8414619987330658,3.692275458952632,full
12,0.3966244161128998,0.699999988079071,0.0,3.3642280981382293,full
13,0.44444239139556885,0.699999988079071,0.0,3.2489436131484575,full
14,0.487674742937088,0.699999988079071,0.0,3.352359108559015,full
15,0.47043952345848083,0.699999988079071,0.0,3.7434275525431304,full
16,0.4600464403629303,0.699999988079071,0.0,3.773885424926557,full
17,0.46436721086502075,0.699999988079071,0.0,3.2766774361715303,full
18,0.42591992020606995,0.699999988079071,0.0,3.3094104724188225,full
19,0.4794810712337494,0.699999988079071,0.0,3.298821522223782,full
20,0.4301340878009796,0.699999988079071,0.0,3.4362558495612543,full
21,0.4682244658470154,0.699999988079071,0.0,3.338118551705387,full
22,0.4497925639152527,0.699999988079071,0.0,3.754400453115343,full
23,0.45313483476638794,0.699999988079071,0.0,3.372213860137049,full
8,0.0710432156920433,0.699999988079071,1.0815635655849323,3.778625298289786,full
9,0.0,0.699999988079071,1.0541848105597058,3.2145608805299704,full
10,0.0,0.699999988079071,1.0770117101118828,3.2159217164579803,full
11,0.13159452378749847,0.699999988079071,0.8249864285481211,3.510769744034597,full
12,0.38021165132522583,0.699999988079071,0.0,3.241007940885605,full
