seed,num_agents,initial_storage_carbon,total_charge_injection,total_discharge_removal,final_storage_carbon,total_input,total_accounted_output,residual,residual_pct,recovery_ratio
20260427,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260428,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260429,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260430,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260431,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260432,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260433,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260434,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260435,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260436,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260437,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260438,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260439,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260440,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260441,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260442,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260443,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260444,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260445,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
20260446,10,6.719999999999999,81.34736703571522,79.79999874973296,0.0,88.06736703571522,79.79999874973296,8.267368285982258,9.387550195101749,0.9061244980489825
