metric,first30,last30,delta
reward,78.54995703,78.45552375,-0.09443327
p2p,0.08964546,0.08625225,-0.00339322
grid_buy,3.23240747,3.23348027,0.00107280
grid_sell,0.48207504,0.49385713,0.01178210
carbon,1.93669673,1.94349886,0.00680213
