method,active_agent_count,reward_mean,reward_std,reward_drop_vs_max_count_mean,reward_drop_vs_max_count_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,carbon_mean,carbon_std,n_agents_mean,n_agents_std
deepsets,5,73.10287879407406,0.0,0.022055560314585474,0.0,0.0,0.0,3.202940721508743,0.0,0.4910325063332861,0.0,2.0041663855650116,0.0,5.0,0.0
deepsets,10,74.3718140522639,0.0,0.005080193536442577,0.0,0.0,0.0,3.324717888391727,0.0,0.5548881929857251,0.0,2.0690466872586675,0.0,10.0,0.0
deepsets,15,72.94561215428016,0.0,0.02415941776139951,0.0,0.0,0.0,3.1798687900433835,0.0,0.5732713550900899,0.0,1.9883640730072738,0.0,15.0,0.0
deepsets,20,73.34249047143385,0.0,0.018850120099053264,0.0,0.0,0.0,3.2267351952487964,0.0,0.5283529547362238,0.0,2.0251394638368874,0.0,20.0,0.0
deepsets,25,75.20514279852311,0.0,-0.0060677834964438055,0.0,0.0,0.0,3.283169587850107,0.0,0.5280436120600023,0.0,2.0541734872955963,0.0,25.0,0.0
deepsets,30,74.75156647711992,0.0,0.0,0.0,0.0,0.0,3.2092037785979732,0.0,0.5226621250256095,0.0,2.009082442259199,0.0,30.0,0.0
dp_lcrl,5,73.12316704262048,0.0,0.022023357335574253,0.0,0.0,0.0,3.1864290006843765,0.0,0.49458393065897976,0.0,2.0041663855650116,0.0,5.0,0.0
dp_lcrl,10,74.38796289761862,0.0,0.00510750352407287,0.0,0.0,0.0,3.312605708836954,0.0,0.5575925072505863,0.0,2.0690466872586675,0.0,10.0,0.0
dp_lcrl,15,72.96296138751009,0.0,0.024166007812260963,0.0,0.0,0.0,3.1663901704271797,0.0,0.5763912311286779,0.0,1.9883640730072738,0.0,15.0,0.0
dp_lcrl,20,73.36123479312906,0.0,0.018839350012240644,0.0,0.0,0.0,3.2118879592423513,0.0,0.5317995825821725,0.0,2.0251394638368874,0.0,20.0,0.0
dp_lcrl,25,75.22304198890924,0.0,-0.006061157231329719,0.0,0.0,0.0,3.269198139983795,0.0,0.5310508896271174,0.0,2.0541734872955963,0.0,25.0,0.0
dp_lcrl,30,74.76985017086069,0.0,0.0,0.0,0.0,0.0,3.1947664883508633,0.0,0.5257308423673919,0.0,2.009082442259199,0.0,30.0,0.0
mappo_shared,5,73.01602127216756,0.0,0.02214261439541244,0.0,0.0,0.0,3.229895195139883,0.0,0.4800544872026269,0.0,2.0053043317431682,0.0,5.0,0.0
mappo_shared,10,74.29806781808536,0.0,0.004972975982199716,0.0,0.0,0.0,3.3505982345413496,0.0,0.5439775857744584,0.0,2.069942991412136,0.0,10.0,0.0
mappo_shared,15,72.8587247033914,0.0,0.02424918784091268,0.0,0.0,0.0,3.2058603227720597,0.0,0.5620553048017124,0.0,1.989520838222639,0.0,15.0,0.0
mappo_shared,20,73.25351373649514,0.0,0.01896202804981441,0.0,0.0,0.0,3.253091926929968,0.0,0.5170123320111695,0.0,2.026330826800292,0.0,20.0,0.0
mappo_shared,25,75.12360433116555,0.0,-0.006082912332950633,0.0,0.0,0.0,3.309698859544781,0.0,0.5172485956534123,0.0,2.055212795319684,0.0,25.0,0.0
mappo_shared,30,74.66939693565169,0.0,0.0,0.0,0.0,0.0,3.235841949365979,0.0,0.5117434081259288,0.0,2.0101333215534463,0.0,30.0,0.0
mlp_pad,5,73.09577629404762,0.0,0.022970992493576706,0.0,0.0006490812078760874,0.0,3.2079755456920713,0.0,0.4901792850288871,0.0,2.0042755178329754,0.0,5.0,0.0
mlp_pad,10,74.45065249999365,0.0,0.004861145086465824,0.0,0.0029779852466526435,0.0,3.3274895039364774,0.0,0.552406986338638,0.0,2.0674823979144383,0.0,10.0,0.0
mlp_pad,15,73.02728005250295,0.0,0.023886542177666562,0.0,0.0036354364206622847,0.0,3.189609283980002,0.0,0.5686279526832304,0.0,1.9865854909712684,0.0,15.0,0.0
mlp_pad,20,73.41584584318721,0.0,0.018692807764121327,0.0,0.0036919614140194642,0.0,3.232141997048267,0.0,0.5252532217570909,0.0,2.0236223622888927,0.0,20.0,0.0
mlp_pad,25,75.25629491483173,0.0,-0.005907411578256563,0.0,0.0030044176100363865,0.0,3.2893433098580944,0.0,0.5250860109421724,0.0,2.0530765592109192,0.0,25.0,0.0
mlp_pad,30,74.81433584106465,0.0,0.0,0.0,0.003288543315316695,0.0,3.215634934906016,0.0,0.5196671376879575,0.0,2.0077501996152662,0.0,30.0,0.0
