method,method_key,seeds,final100_reward_mean,final100_reward_std,all_mean_reward_mean,all_mean_reward_std,final100_p2p_mean,final100_p2p_std,all_mean_p2p_mean,all_mean_p2p_std,final100_grid_trade_mean,final100_grid_trade_std,all_mean_grid_trade_mean,all_mean_grid_trade_std,final100_carbon_resp_mean,final100_carbon_resp_std,all_mean_carbon_resp_mean,all_mean_carbon_resp_std,delta_final100_reward_vs_full_pct,delta_final100_p2p_vs_full_pct,delta_final100_grid_trade_vs_full_pct,delta_final100_carbon_resp_vs_full_pct
Full,full,"42,43,44",73.91531219812674,1.807609620114048,73.44401032694391,2.0864963903429263,0.16003843770153428,0.12118231079975443,0.1445918898558587,0.11954228459099396,2.9275394038270726,0.09898408913529307,2.9528479808387647,0.11680383384564386,2.0347721330419617,0.03439290082993325,2.0436150527110537,0.039970267842007114,0.0,0.0,0.0,0.0
CMTM Stateless,cmtm_stateless,"42,43,44",77.82642480448992,0.5482252351125958,76.01183027437911,0.7085812672156113,0.26874903923364707,0.09024259325097447,0.25018649451756203,0.06702959605701679,2.8508097757439486,0.10577697479652377,2.8838471041702007,0.0741838477607017,1.957600011631099,0.009486644934311455,1.9934568337979799,0.013528027081000227,5.291342876127764,67.92780727768287,-2.6209597036616477,-3.792666518166398
Mask ObsOnly,mask_obs_only,"42,43,44",74.8022300133352,2.029561975277056,74.10898141480516,1.6849615755065055,0.22605314243212193,0.1277595795579276,0.1954674158248355,0.0846420495212518,2.880345764987998,0.1103512488579359,2.9179789984631745,0.09772112914111644,2.017389567519282,0.038825229302527034,2.0306504990054037,0.032423000246989055,1.1999108017444595,41.24928090944165,-1.612058193900992,-0.8542757805854685
Direct Max Scale,direct_max,"42,43,44",75.34477364928634,1.9206545204677707,74.83709548775586,1.6726297131662065,0.2486932592027228,0.11891245198422598,0.22233884558199213,0.10494748038829406,2.845641967755686,0.1062110786195478,2.8748739039275613,0.09249923271842454,2.0067378439347747,0.03755897298016411,2.016599947405537,0.032632610794961554,1.9339178969142254,55.39595535575426,-2.797483646653054,-1.3777606176115662
