metric,first30,last30,delta
reward,-4.34771849,-3.74893116,0.59878733
p2p,0.08448076,0.31096144,0.22648068
grid_buy,3.16192316,2.90065542,-0.26126774
grid_sell,0.51414833,0.33629660,-0.17785174
carbon,1.94351980,1.79445716,-0.14906264
