step,seller_id,buyer_id,p2p_energy,price,carbon_intensity,actual_carbon_responsibility,signed_carbon_responsibility,low_carbon_contribution,plotted_carbon_flow
0,23,13,0.38155596346069665,0.9939986122772098,-0.2502850592136383,-0.09549775690807727,-0.3625869313305649,0.3625869313305649,-0.09549775690807727
0,23,14,0.8018478834808032,0.8589223204180598,-0.2502850592136383,-0.20069054499732336,-0.7619840634338856,0.7619840634338856,-0.20069054499732336
0,23,9,0.3372133694505508,0.7982447175309062,-0.2502850592136383,-0.0843994681405616,-0.32044882675594716,0.32044882675594716,-0.0843994681405616
0,28,9,1.1592622400179937,0.8803500160574913,-0.4816867411136627,-0.558401250490392,-1.3698848185029877,1.3698848185029877,-0.558401250490392
1,27,7,0.9050075095968612,0.8527745828032494,-0.6917500495910645,-0.6260389896439145,-1.2595442463617172,1.2595442463617172,-0.6260389896439145
1,26,7,0.38062856598117667,0.9068288784474134,-0.6726579070091248,-0.25603281454078286,-0.5224728107276065,0.5224728107276065,-0.25603281454078286
1,26,16,0.010715026519187987,0.8950021471828222,-0.6726579070091248,-0.0072075473119442585,-0.01470806587537585,0.01470806587537585,-0.0072075473119442585
2,23,29,0.03900575722069347,0.778780460357666,-0.6316186785697937,-0.0246367648323486,-0.05194079488683403,0.05194079488683403,-0.0246367648323486
2,23,8,0.3673662660790826,0.6748765110969543,-0.6316186785697937,-0.2320353955319894,-0.48919178178734724,0.48919178178734724,-0.2320353955319894
2,18,8,0.6142752044774408,0.6799554191529751,-0.353639155626297,-0.21723176463357308,-0.6472244077677816,0.6472244077677816,-0.21723176463357308
3,23,12,0.19846459285074505,0.5760373760713264,-0.5922459363937378,-0.11753984863389143,-0.25646506362941296,0.25646506362941296,-0.11753984863389143
4,14,5,0.2899980505950771,0.7221956960856915,-0.501462459564209,-0.14542313572023327,-0.34842177113678724,0.34842177113678724,-0.14542313572023327
4,22,5,0.39216492739294484,0.7814872451126575,-0.6166867613792419,-0.24184291900048072,-0.516358368175542,0.516358368175542,-0.24184291900048072
4,21,5,1.0486313613436367,0.9586225356906652,-0.6863048076629639,-0.7196807447562965,-1.453722697696842,1.453722697696842,-0.7196807447562965
4,21,8,0.45737721564833755,0.9461528901010752,-0.6863048076629639,-0.31390018201495423,-0.6340642329687906,0.6340642329687906,-0.31390018201495423
4,12,8,0.08530025056840806,0.9765536226332188,-0.4498941898345947,-0.038376087122161874,-0.09808626252004751,0.09808626252004751,-0.038376087122161874
5,15,1,1.392141736103871,0.7725841663777828,-0.6998177766799927,-0.9742455345836362,-1.9487447498563457,1.9487447498563457,-0.9742455345836362
5,15,25,0.010173043228508953,0.6947903819382191,-0.6998177766799927,-0.00711927649424459,-0.014240406754200857,0.014240406754200857,-0.00711927649424459
5,15,7,0.11946663396414084,0.6370076704770327,-0.6998177766799927,-0.08360487416822754,-0.16723151794312613,0.16723151794312613,-0.08360487416822754
5,22,7,0.23018110962176416,0.6642553154379129,-0.3336575925350189,-0.07680167488343712,-0.23792845161867202,0.23792845161867202,-0.07680167488343712
5,22,29,0.8237669934742741,0.6426212014630437,-0.3336575925350189,-0.2748561118524369,-0.8514930072844288,0.8514930072844288,-0.2748561118524369
5,22,23,0.04642658328411609,0.6371787171810865,-0.3336575925350189,-0.015490582008204728,-0.04798919030708599,0.04798919030708599,-0.015490582008204728
5,22,27,0.03748057395901815,0.5594041272997856,-0.3336575925350189,-0.01250567807399672,-0.038742079845309425,0.038742079845309425,-0.01250567807399672
5,14,27,0.41579313571285337,0.6273509692400694,-0.699999988079071,-0.2910551900423569,-0.5821103850413543,0.5821103850413543,-0.2910551900423569
6,16,4,0.24984955529163644,0.85599360242486,-0.6896896362304688,-0.1723186489014331,-0.3472133376055786,0.3472133376055786,-0.1723186489014331
6,16,2,0.08808628466330463,0.5947339162230492,-0.6896896362304688,-0.060752197626328094,-0.12241259689064134,0.12241259689064134,-0.060752197626328094
7,15,28,0.8144505861834808,0.8948623929172754,-0.639788031578064,-0.5210757373519295,-1.091191147680366,1.091191147680366,-0.5210757373519295
7,15,21,0.13582418339145974,0.7953303102403879,-0.639788031578064,-0.08689868693272,-0.1819756153067418,0.1819756153067418,-0.08689868693272
7,15,4,0.42111170916779234,0.7671281397342682,-0.639788031578064,-0.26942223148293604,-0.5642004279003906,0.5642004279003906,-0.26942223148293604
7,15,19,0.21524413664679898,0.7071368442848325,-0.639788031578064,-0.13771062249397534,-0.28838151814673463,0.28838151814673463,-0.13771062249397534
8,8,28,0.29447515703139876,0.780374463647604,-0.6999636292457581,-0.20612189963841238,-0.4122545095603915,0.4122545095603915,-0.20612189963841238
8,15,28,1.1779533361531909,0.8719531008973718,-0.6916227340698242,-0.8146993069569406,-1.6392666422641742,1.6392666422641742,-0.8146993069569406
8,13,28,0.11577506746165667,0.8791484953835607,-0.693690836429596,-0.08031210338516952,-0.16135465060832918,0.16135465060832918,-0.08031210338516952
9,0,24,0.9260620786226132,0.7779193818569183,-0.699999988079071,-0.6482434439963091,-1.2964868990321383,1.2964868990321383,-0.6482434439963091
9,8,24,0.6309679846070004,0.7881245836615562,-0.699999988079071,-0.4416775817031758,-0.883355170928076,0.883355170928076,-0.4416775817031758
9,1,24,0.6311771794973708,0.8815472647547722,-0.6977310180664062,-0.4403918960309834,-0.882215921679143,0.882215921679143,-0.4403918960309834
