seller_id,buyer_0,buyer_1,buyer_2,buyer_3,buyer_4,buyer_5,buyer_6,buyer_7,buyer_8,buyer_9,buyer_10,buyer_11,buyer_12,buyer_13,buyer_14,buyer_15,buyer_16,buyer_17,buyer_18,buyer_19,buyer_20,buyer_21,buyer_22,buyer_23,buyer_24,buyer_25,buyer_26,buyer_27,buyer_28,buyer_29
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5696780717751907,0.0,0.0,0.0,0.9615711512063233,0.6595682375118802,0.6963623903283758,0.0,0.0,0.0,0.0,0.0,0.0,3.367330750088215,0.0,0.0,1.1157177374348632,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24458568258821245,0.0,0.0,0.17241838673715984,0.0,0.0,0.0,0.0,0.5136244953521537,0.0,0.6345086325559939,0.8042258082232413,0.0,0.19411291277109222,0.0017433762178930556,0.6311771794973708,0.0,0.0,0.9579031619781895,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5409448748898469,0.0,0.0,0.0,0.8282874904906623,0.0,0.0,0.9117281287425375,0.0,0.0,0.6268081903109168,0.0,0.0,0.0,1.1556947369289277
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343902200388674,0.0,0.3400790353328194,0.0,0.5747693947423801,0.0,0.0,0.6356912131079975,0.05733786143887243,0.0,0.04411383069069885,0.0,0.0,0.0,1.8301805408888705
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062278233998736846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9151763233027461,0.6611694631337154,0.22200977952914958,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.357273708789869,0.0,0.0,1.0109689111641949,0.0,0.0,0.0,0.0,0.2873630998735499,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203710585068607,0.0,0.0,1.1737180389223367,0.0,0.6864642758472534,0.0,0.0,0.0,0.0,0.0,0.0,0.41173384944740765
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16624814804913607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6309679846070004,0.0,0.0,0.0,0.29447515703139876,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08530025056840806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11577506746165667,0.0
14,0.0,0.0,0.0,0.0,0.0,0.2899980505950771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41579313571285337,0.0,0.0
15,0.0,1.392141736103871,0.0,0.0,0.42111170916779234,0.0,0.0,0.11946663396414084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21524413664679898,0.0,0.13582418339145974,0.0,0.0,0.0,0.010173043228508953,0.0,0.0,1.9924039223366716,0.0
