run,seed,thread_level_episode_summaries,training_iterations,mean_reward,final100_reward,final100_p2p_volume_mean_active,final100_grid_buy_mean_active,final100_grid_sell_mean_active,final100_carbon_responsibility_last_mean
full_multiseed5000_seed42_20260415,42,20000,5000,72.75922180647704,72.7183685268826,0.036732768823407945,2.791796767966407,0.21421875599939633,2.016601693053464
full_multiseed5000_seed43_20260415,43,20000,5000,75.34269115845433,74.99903944439359,0.21143079711343138,2.7349262701002788,0.15820002467834912,1.977148058074991
full_multiseed5000_seed44_20260415,44,20000,5000,71.63779665623726,71.35881566365559,0.004271387285469902,2.8338637203199952,0.2575663876569241,2.055957360444944
