method,method_label,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,seed_count,eval_episodes_per_seed,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_agents_std,attn_leakage_per_call,attn_leakage_per_call_std,attn_entropy_mean,attn_entropy_std,inactive_action_abs_mean,inactive_action_abs_std
full_ours,Full / Ours,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,3,30,75.53323641926795,1.9477626381532598,0.21971572473642453,0.13791307408658446,2.6408434156241825,0.031028777946559727,0.11296628738419812,0.054701391334659365,2.753809703008381,0.08544378245683323,2.0165190391401473,0.0380250395006392,17.83611111111111,0.0,0.0,0.0,1.704493081259966,0.13429580375955782,0.0,0.0
full_ours,Full / Ours,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,3,30,74.64026030963554,1.358840040412177,0.24439798896545276,0.13427028971442428,2.6686455698245997,0.039725766093307684,0.1145960625651154,0.05308547935624889,2.7832416323897147,0.05966716022778856,2.006656398399921,0.027124667451630984,20.202777777777776,0.0,0.0,0.0,1.8706086724847284,0.14633213211022333,0.0,0.0
full_ours,Full / Ours,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,3,30,74.69830034932944,0.9965988313875469,0.22139092291132326,0.1055235670193594,2.744615788089495,0.05257433161277229,0.10657854996818444,0.04486301533817583,2.8511943380576787,0.05205469517725017,2.029445390442345,0.019756696091754195,25.57916666666667,0.0,0.0,0.0,2.0633899975724126,0.17007587330426566,0.0,0.0
full_ours,Full / Ours,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,3,30,75.90744575359203,1.486930654616856,0.2149307597132157,0.09563081741594529,2.684722413698719,0.03993520748087057,0.11708979641807592,0.042329866542025675,2.8018122101167946,0.08224689445428064,1.9962663438885497,0.028876584620576313,30.0,0.0,nan,nan,2.202006582685073,0.17467071665001707,nan,nan
full_ours,Full / Ours,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,3,30,75.59327272044648,1.2459347441337865,0.2859554833435714,0.12856739237091072,2.716166445853539,0.05271410750066631,0.11662819207514558,0.05333624345039305,2.8327946379286844,0.06544568030288195,1.99539166339047,0.024450664743993,24.5,0.0,0.0,0.0,2.047940900747206,0.16801844166867086,0.0,0.0
full_ours,Full / Ours,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,5.0,3,40,74.53334820737219,1.4682456917758457,0.25196987167376045,0.13799616581763713,2.6697892129557714,0.03847372607433487,0.11439678744961934,0.0544084850836698,2.784186000405391,0.06299443601812932,2.0061586745200883,0.029249569257811366,20.078125000000004,0.0,0.0,0.0,1.8644672731553393,0.14799214559507778,0.0,0.0
full_ours,Full / Ours,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,3,20,62.12917403200021,1.206651778431221,0.0,0.0,2.6646979608131702,0.02466708276145019,0.5263104160354841,0.0455346779116986,3.191008376848655,0.06966790525415255,1.99302196487785,0.02431455603080248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_ours,Full / Ours,scale_02,2 active agents,scale_sweep,2,2,0.0,0.0,3,20,69.5663924422529,1.4920730565917186,0.09958871345863492,0.07324369307003213,2.8321023476814227,0.034620618740803126,0.2589053043536729,0.04828282422959968,3.0910076520350955,0.08240850313467014,2.1174841351420537,0.0292037803978686,2.0,0.0,0.0,0.0,0.2305337037343319,0.007285131035211827,0.0,0.0
full_ours,Full / Ours,scale_03,3 active agents,scale_sweep,3,3,0.0,0.0,3,20,72.48950530152628,2.1730456556020004,0.19627821281295024,0.12882574403416389,2.885150702904055,0.05596418119212559,0.21771150532448202,0.06177691983691376,3.102862208228538,0.11651361174306035,2.1194739934611095,0.04183572920235829,3.0,0.0,0.0,0.0,0.4237875457519737,0.007270052979297045,0.0,0.0
full_ours,Full / Ours,scale_04,4 active agents,scale_sweep,4,4,0.0,0.0,3,20,73.99936585658126,2.638943517473065,0.2296084957024843,0.1386179007419947,2.728969404444777,0.06607781627675109,0.19887883766288095,0.07622995374140636,2.927848242107658,0.141811747808957,2.0159905953558352,0.05095345204416037,4.0,0.0,0.0,0.0,0.6344154891363754,0.03297565979621362,0.0,0.0
full_ours,Full / Ours,scale_05,5 active agents,scale_sweep,5,5,0.0,0.0,3,20,73.62882726230553,3.092419236483359,0.2763714684208085,0.1715337292549249,2.7714607945347502,0.08108670131048043,0.1477961346645592,0.08735511936581529,2.91925692919931,0.16744784628544515,2.0457025728314555,0.05951808513853472,5.0,0.0,0.0,0.0,0.8030129610109592,0.024827373346876624,0.0,0.0
full_ours,Full / Ours,scale_06,6 active agents,scale_sweep,6,6,0.0,0.0,3,20,74.29300941027425,2.9978032713147966,0.29133917240495655,0.17970368440867376,2.8128465383761987,0.0713395278949239,0.1609847556421328,0.08352882188180233,2.9738312940183307,0.1547135937055843,2.084188702850037,0.05769344255511723,6.0,0.0,0.0,0.0,0.884040552168026,0.0400177579181467,0.0,0.0
