method,active_agent_count,reward_mean,reward_std,reward_drop_vs_max_count_mean,reward_drop_vs_max_count_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,carbon_mean,carbon_std,n_agents_mean,n_agents_std
deepsets,5,71.03945343446814,0.015876474095108783,0.05073028917362384,2.958363353453504e-05,0.0,0.0,2.924036107678018,0.01545368156701375,0.5899763424330683,0.00676391401734634,1.866742456966266,0.0,5.0,0.0
deepsets,10,75.92020910448498,0.014285694445905127,-0.014489159868509217,4.910093404060737e-06,0.0,0.0,3.154209812849297,0.014053337286983556,0.5011892411601029,0.0060274529707485406,1.9958839296453128,0.0,10.0,0.0
deepsets,15,73.89053110678991,0.01414265309413496,0.012632556440678762,1.460105728478111e-06,0.0,0.0,3.1686888525939776,0.01388443778230732,0.5780890144476897,0.005809061070416867,2.003133993521205,0.0,15.0,0.0
deepsets,20,73.24678032613461,0.015363868722642456,0.02123472519988799,1.6771324848386783e-05,0.0,0.0,3.1314805052820147,0.01502567851713976,0.5484494362482738,0.006437668874749821,1.9907235100125558,0.0,20.0,0.0
deepsets,25,74.71784481480718,0.014751002970963604,0.00157751971205282,4.746093448177733e-06,0.0,0.0,3.1926118232536513,0.014495101323944354,0.526769054955505,0.005991378273465788,2.021747429309881,0.0,25.0,0.0
deepsets,30,74.83589985362357,0.014418859989729622,0.0,0.0,0.0,0.0,3.1763768093719578,0.014167028568986615,0.5350203248892704,0.006004599790038215,2.0095229356437736,0.0,30.0,0.0
dp_lcrl,5,71.06821852032509,0.009504646385521644,0.05068040655506375,1.4120021482177774e-05,0.0,0.0,2.8978392141081613,0.006896698295566825,0.5987500613179092,0.004743448560559592,1.866742456966266,0.0,5.0,0.0
dp_lcrl,10,75.94608936078019,0.008563896683387967,-0.014477530988615398,7.815774989934335e-06,0.0,0.0,3.1308120497753946,0.00585430275822246,0.5089771436360615,0.004459179955002515,1.9958839296453128,0.0,10.0,0.0
dp_lcrl,15,73.91637599335776,0.008856521805193324,0.012635104917448918,5.984533399153653e-07,0.0,0.0,3.1453740841449975,0.006169573149714771,0.5856199323492866,0.004217549930760925,2.003133993521205,0.0,15.0,0.0
dp_lcrl,20,73.27493888019687,0.009580496391288265,0.021203335901932893,1.023886290895874e-05,0.0,0.0,3.105946014174305,0.006820271338313511,0.5570382954162795,0.004765316272807867,1.9907235100125558,0.0,20.0,0.0
dp_lcrl,25,74.74478088567653,0.009213885708794405,0.0015693854755271053,2.857384484483092e-06,0.0,0.0,3.168217105031644,0.006475303201849181,0.5346943457435424,0.004434323165762284,2.021747429309881,0.0,25.0,0.0
