seed,episodes,final_window,reward_final100_mean,reward_final100_std,reward_last,p2p_final100_mean,p2p_final100_std,p2p_last,grid_buy_final100_mean,grid_buy_final100_std,grid_buy_last,grid_sell_final100_mean,grid_sell_final100_std,grid_sell_last,carbon_load_final100_mean,carbon_load_final100_std,carbon_load_last
Seed 42,10000,100,72.96210146903991,0.36458782621798613,73.25099668502807,0.10641824919010069,0.00754046466926555,0.10398888006766481,2.779279209585227,0.012323459939223583,2.7669055195947,0.2055941080491512,0.012010282265535526,0.1958532006054311,2.0542727554470024,0.007283107669362438,2.045346802078379
Seed 43,10000,100,73.2253997827106,0.3156742189448099,73.33276686138576,0.1133252302317595,0.012741578684952192,0.12781624974685826,2.7724367124286484,0.010355260823795332,2.759548430203159,0.19435786342878264,0.009014176637079978,0.18255046107921666,2.0487572957472704,0.006727998147190989,2.0403947472029653
Seed 44,10000,100,76.85742514186435,0.28675191847549125,76.83705931769477,0.38205783185096764,0.016936667708446894,0.3963410259145291,2.6791455280113046,0.010337748973675929,2.678267504836203,0.1055535997425191,0.009945848471991274,0.1085493717608876,1.9805766293926237,0.006416923397140552,1.9812476122615725
Mean ? Std (across seeds),10000,100,74.34830879787162,1.7774663843542504,74.47360762136952,0.20060043709094258,0.1283407344574048,0.20938205190968406,2.743620483341726,0.04567617789380209,2.734907151544687,0.1685018570734843,0.04474688535936516,0.16231767781517845,2.0278688935289653,0.033516401549897754,2.0223297205143056
