Method,Avg Reward,Final100 Reward,Final100 Reward Std,Avg P2P Volume,Final100 P2P Volume,Avg Grid Buy,Avg Carbon Load,Avg Active Agents,Convergence Iter (95%),Mean Policy Loss,Mean Value Loss,Mean Entropy,Mean FPS,Summary JSON,Delta Reward vs Full (%),Delta P2P vs Full (%),Delta Grid Buy vs Full (%),Delta Carbon Load vs Full (%)
Full,73.04941588144607,74.71867541575222,0.2997924418591799,48.467648127314476,56.99908349362876,1753.8673655308414,1295.5308643482103,26.23325,117,0.9707519508483586,0.21355811675861477,0.3673401565521956,1428.8035492496606,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\full_controlled_baseline_1000ep_20260413\paper_training_summary.json,0.0,0.0,0.0,0.0
CMTM Stateless,67.17752180233938,68.63424293400578,0.3447657594127255,57.63772978831698,81.03094672407015,1901.2645285471467,1367.7608571127141,26.23325,157,0.8166776424697543,0.205200458098948,0.37136781696379184,1555.3013719962498,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\ablation_cmtm_stateless_1000ep_20260413\paper_training_summary.json,-8.038249188243123,18.92000543726529,8.404122564404561,5.575320106390761
Mask ObsOnly,73.86481561519298,75.64082604438568,0.3693515673812104,67.0697240426055,82.38827177255207,1741.1957784457534,1285.047939316277,26.23325,181,0.8935867757434958,0.2068873171329498,0.4262560686737299,1499.2921021918528,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\ablation_mask_obs_only_1000ep_20260413\paper_training_summary.json,1.116230326975167,38.380397304253805,-0.7224940342768025,-0.8091605781393187
Direct Max Scale,73.55501641947917,74.85010368209414,0.20879873945043995,53.452376781161846,62.444040181842084,1996.1131079180057,1475.2201244536514,30.0,100,-0.0033865528264354007,0.09901643702313304,0.42446383453011516,1615.2316547575017,C:\Users\23034\Desktop\论文\面向节点动态变化的P2P低碳能源安全最优交易机制研究\code2\on-policy-main\dp-lcrl-rl\runs\ablation_scale_directmax_1000ep_20260413\paper_training_summary.json,0.6921349499271294,10.28465140448639,13.812090192683636,13.869932785881081
